"FoodName","kCal","Protein","TagName"
"Anchovies","248.00",NULL,"Fish"
"Apple - Fresh","36.00",NULL,"Fruit"
"Apple - Stewed","40.00",NULL,"Fruit"
"Apricot - Dried","215.00",NULL,"Fruit"
"Apricot - With Stone","7.00",NULL,"Fruit"
"Asparagus","26.00",NULL,"Vegetables"
"Aubergine","25.00",NULL,"Vegetables"
"Banana","89.00",NULL,"Fruit"
"Blackberries","60.00",NULL,"Fruit"
"Bran - Kellogs","350.00",NULL,"Grains"
"Bran - Whole","368.00",NULL,"Grains"
"Bread - Wholemeal","121.00",NULL,"Grains"
"Broccoli","25.00",NULL,"Vegetables"
"Butternut Squash","45.00",NULL,"Vegetables"
"Cabbage","21.00",NULL,"Vegetables"
"Carrot","21.00",NULL,"Vegetables"
"Cauliflower","38.00",NULL,"Vegetables"
"Celery","7.00",NULL,"Vegetables"
"Chicken Breast","106.00","32.00","Meat"
"Chickpeas - Freshona (LIDL) - In Water","125.00","6.40","Legumes"
"Dates - Dried","282.00",NULL,"Fruit"
"Eggs - Large","85.00",NULL,"Dairy"
"Eggs - Medium","72.00","7.00","Dairy"
"Figs - Dried","233.00",NULL,"Fruit"
"Figs - Fresh","74.00",NULL,"Fruit"
"Garlic - Fresh","111.00",NULL,"Vegetables"
"Garlic - Paste","102.00",NULL,"Vegetables"
"Ginger - Paste","49.00",NULL,"Vegetables"
"Granola - Lizi's","501.00",NULL,"Grains"
"Grapes","64.00",NULL,"Fruit"
"Greek Yoghurt - Milbona (LIDL) - Full Fat","126.00","4.10","Dairy"
"Kidney Beans","93.00","7.20","Legumes"
"Kiwi","44.00",NULL,"Fruit"
"Lentils Green - Dried","176.00",NULL,"Legumes"
"Lime Pickle","187.00",NULL,"Packaged"
"Mackerel in Sauce - Nixe (LIDL) - In Spicy Tomato Sauce","103.00","8.30","Fish"
"Mackerel in Sauce - Sainsbury's - In Spicy Jerk Sauce","132.00","8.50","Fish"
"Mango","63.00",NULL,"Fruit"
"Melon","36.00",NULL,"Fruit"
"Milk - Oat - Homemade","46.00",NULL,"Dairy"
"Milk - Oat - Vemondo","41.00",NULL,"Dairy"
"Milk - Soya","33.00",NULL,"Dairy"
"Milk - UHT Full Fat - Tesco","66.00","3.50","Dairy"
"Milk - UHT Skimmed - Dairy Manor (LIDL)","35.00","3.40","Dairy"
"Mixed Berries - Frozen","50.00",NULL,"Fruit"
"Mushrooms","20.00",NULL,"Vegetables"
"Nectarine","44.00",NULL,"Fruit"
"Nuts - Mixed - (Lidl)","646.00","20.40","Packaged"
"Olives","155.00",NULL,"Vegetables"
"Onion","25.00",NULL,"Vegetables"
"Parmesan","400.00",NULL,"Dairy"
"Peach","32.00",NULL,"Fruit"
"Peaches and Nectarines - Frozen","42.00",NULL,"Fruit"
"Pear","36.00",NULL,"Fruit"
"Peas - Frozen","83.00",NULL,"Vegetables"
"Penne","359.00",NULL,"Pasta"
"Pepper - Red","24.00",NULL,"Vegetables"
"Pepper - Yellow","36.00",NULL,"Vegetables"
"Persimmon","127.00",NULL,"Fruit"
"Pesto - Green","184.00",NULL,"Packaged"
"PhD Whey Protein Powder","96.00","64.00","Supplements"
"Pineapple - Frozen","45.00",NULL,"Fruit"
"Plum","36.00",NULL,"Fruit"
"Porridge - Mornflake","369.00","11.50","Grains"
"Potatoes - baby","64.00",NULL,"Vegetables"
"Rapeseed Oil","899.00",NULL,"Oil"
"Rhubarb - stewed","27.00",NULL,"Fruit"
"Rice - Basmati","351.00",NULL,"Rice"
"Rice - Wholegrain, cooked","4321.00",NULL,"Rice"
"Rice - Wholegrain, dried","280.00",NULL,"Rice"
"Runner Beans","25.00",NULL,"Vegetables"
"Ryvita - Fruity","56.00",NULL,"Grains"
"Seed - Mixed - Alesto (LIDL)","576.00","23.00","Packaged"
"Seed - Mixed - Holland & Barrett","566.00","23.70","Packaged"
"Spread Cheese - Full Fat","240.00",NULL,"Dairy"
"Spread Cheese - Light","141.00",NULL,"Dairy"
"Sprouts","51.00",NULL,"Vegetables"
"Strawberries","32.00",NULL,"Fruit"
"Swede","38.00",NULL,"Vegetables"
"Sweet Potato","86.00",NULL,"Vegetables"
"Sweetcorn - Frozen","77.00",NULL,"Vegetables"
"Tangerine - Flesh Only","53.00",NULL,"Fruit"
"Tomatoes - Passata","37.00",NULL,"Vegetables"
"Tomatoes - Sun Dried","197.00",NULL,"Vegetables"
"Tomatoes - Tinned - Chopped","22.00",NULL,"Vegetables"
"Tomtatoes - Fresh","14.00",NULL,"Vegetables"
"Tuna - Nixe (LIDL) In Brine","58.00",NULL,"Fish"
